semantic_sign_id,name_en,priority,required_for,realistic_candidate_total,minimum_clean_crops,gap_to_minimum,collection_status,cleaning_status,next_action
bicycle_crossing,Bicycle crossing,must,assignment,50,50,0,meets_minimum_stage_d_qc_complete,stage_d_minimum_qc_complete,Stage D zero-gap minimum QC complete in data/manifests/stage_d_zero_gap_qc_manifest.csv; include in Stage E split freeze.
bicycles_only,Bicycles only,must,assignment,78,50,0,meets_minimum_stage_d_qc_complete,stage_d_minimum_qc_complete,Stage D zero-gap minimum QC complete in data/manifests/stage_d_zero_gap_qc_manifest.csv; include in Stage E split freeze.
camera_enforcement,Camera enforcement,must,common_malaysia;demo_default;current_p5_dataset,124,50,0,meets_minimum_stage_d_qc_complete,stage_d_minimum_qc_complete,Stage D zero-gap minimum QC complete in data/manifests/stage_d_zero_gap_qc_manifest.csv; include in Stage E split freeze.
children_crossing,Children crossing,must,assignment;common_malaysia;demo_default;current_p5_dataset,248,50,0,meets_minimum_stage_d_qc_complete,stage_d_minimum_qc_complete,Stage D zero-gap minimum QC complete in data/manifests/stage_d_zero_gap_qc_manifest.csv; include in Stage E split freeze.
double_curve,Double curve,must,assignment;secondary_malaysia;current_p5_dataset,232,50,0,meets_minimum_stage_d_qc_complete,stage_d_minimum_qc_complete,Stage D zero-gap minimum QC complete in data/manifests/stage_d_zero_gap_qc_manifest.csv; include in Stage E split freeze.
general_caution,General caution,must,assignment;common_malaysia;current_p5_dataset,334,50,0,meets_minimum_stage_d_qc_complete,stage_d_minimum_qc_complete,Stage D zero-gap minimum QC complete in data/manifests/stage_d_zero_gap_qc_manifest.csv; include in Stage E split freeze.
give_way,Give way,must,assignment;common_malaysia;demo_default;multilingual_text;current_p5_dataset,374,50,0,meets_minimum_stage_d_qc_complete,stage_d_minimum_qc_complete,Stage D zero-gap minimum QC complete in data/manifests/stage_d_zero_gap_qc_manifest.csv; include in Stage E split freeze.
height_restriction,Height restriction,must,common_malaysia;demo_default;ocr_value;current_p5_dataset,1050,50,0,meets_minimum_stage_d_qc_complete,stage_d_minimum_qc_complete,Stage D zero-gap minimum QC complete in data/manifests/stage_d_zero_gap_qc_manifest.csv; include in Stage E split freeze.
keep_left,Keep left,must,common_malaysia;current_p5_dataset,593,50,0,meets_minimum_stage_d_qc_complete,stage_d_minimum_qc_complete,Stage D zero-gap minimum QC complete in data/manifests/stage_d_zero_gap_qc_manifest.csv; include in Stage E split freeze.
keep_right,Keep right,must,assignment;common_malaysia;current_p5_dataset,50,50,0,meets_minimum_stage_d_qc_complete,stage_d_minimum_qc_complete,Stage D zero-gap minimum QC complete in data/manifests/stage_d_zero_gap_qc_manifest.csv; include in Stage E split freeze.
