"current_label","split","instance_id","source_class_id","file"
"animal_crossing","test","emtd_f97d5b11e515b18d_001","59","data/processed/emtd_classification/test/animal_crossing/emtd_f97d5b11e515b18d_001.jpg"
"animal_crossing","train","emtd_2229e417950c39bd_001","59","data/processed/emtd_classification/train/animal_crossing/emtd_2229e417950c39bd_001.jpg"
"animal_crossing","train","emtd_71b97f3681cfd481_001","59","data/processed/emtd_classification/train/animal_crossing/emtd_71b97f3681cfd481_001.jpg"
"animal_crossing","train","emtd_8f85803226cefdc3_001","59","data/processed/emtd_classification/train/animal_crossing/emtd_8f85803226cefdc3_001.jpg"
"animal_crossing","train","emtd_f0f7e0e9c55974a6_001","59","data/processed/emtd_classification/train/animal_crossing/emtd_f0f7e0e9c55974a6_001.jpg"
"animal_crossing","validation","emtd_dddb1d7e4463c695_001","59","data/processed/emtd_classification/validation/animal_crossing/emtd_dddb1d7e4463c695_001.jpg"
"camera_enforcement","test","emtd_4e0edc87f7466c6a_005","35","data/processed/emtd_classification/test/camera_enforcement/emtd_4e0edc87f7466c6a_005.jpg"
"camera_enforcement","test","emtd_5d2552f3c147808b_002","35","data/processed/emtd_classification/test/camera_enforcement/emtd_5d2552f3c147808b_002.jpg"
"camera_enforcement","test","emtd_a46a08ce2a37eddb_001","35","data/processed/emtd_classification/test/camera_enforcement/emtd_a46a08ce2a37eddb_001.jpg"
"camera_enforcement","train","emtd_595647f10f1a4e3e_004","35","data/processed/emtd_classification/train/camera_enforcement/emtd_595647f10f1a4e3e_004.jpg"
"camera_enforcement","train","emtd_64a6e880795ff953_004","35","data/processed/emtd_classification/train/camera_enforcement/emtd_64a6e880795ff953_004.jpg"
"camera_enforcement","train","emtd_680f6d595734dbcd_002","35","data/processed/emtd_classification/train/camera_enforcement/emtd_680f6d595734dbcd_002.jpg"
"camera_enforcement","train","emtd_787cd23beca8deed_001","35","data/processed/emtd_classification/train/camera_enforcement/emtd_787cd23beca8deed_001.jpg"
"camera_enforcement","train","emtd_7b1961bec90c74cc_003","35","data/processed/emtd_classification/train/camera_enforcement/emtd_7b1961bec90c74cc_003.jpg"
"camera_enforcement","train","emtd_7b1961bec90c74cc_004","35","data/processed/emtd_classification/train/camera_enforcement/emtd_7b1961bec90c74cc_004.jpg"
"camera_enforcement","train","emtd_8789278698dd14ee_001","35","data/processed/emtd_classification/train/camera_enforcement/emtd_8789278698dd14ee_001.jpg"
"camera_enforcement","train","emtd_a813151de51d2c1a_002","35","data/processed/emtd_classification/train/camera_enforcement/emtd_a813151de51d2c1a_002.jpg"
"camera_enforcement","train","emtd_a813151de51d2c1a_003","35","data/processed/emtd_classification/train/camera_enforcement/emtd_a813151de51d2c1a_003.jpg"
"camera_enforcement","train","emtd_b2d44a98fb0ab389_001","35","data/processed/emtd_classification/train/camera_enforcement/emtd_b2d44a98fb0ab389_001.jpg"
"camera_enforcement","train","emtd_b2d6665dba64ebb7_004","35","data/processed/emtd_classification/train/camera_enforcement/emtd_b2d6665dba64ebb7_004.jpg"
"camera_enforcement","train","emtd_df13965d41341f4c_002","35","data/processed/emtd_classification/train/camera_enforcement/emtd_df13965d41341f4c_002.jpg"
"camera_enforcement","train","emtd_df13965d41341f4c_003","35","data/processed/emtd_classification/train/camera_enforcement/emtd_df13965d41341f4c_003.jpg"
"camera_enforcement","validation","emtd_556fd7814f6283d8_002","35","data/processed/emtd_classification/validation/camera_enforcement/emtd_556fd7814f6283d8_002.jpg"
"camera_enforcement","validation","emtd_5f7cf79a455c49f0_005","35","data/processed/emtd_classification/validation/camera_enforcement/emtd_5f7cf79a455c49f0_005.jpg"
"children_crossing","test","emtd_018e51e9ae23a3ba_002","44","data/processed/emtd_classification/test/children_crossing/emtd_018e51e9ae23a3ba_002.jpg"
"children_crossing","test","emtd_1837b8eee3ead324_003","45","data/processed/emtd_classification/test/children_crossing/emtd_1837b8eee3ead324_003.jpg"
"children_crossing","test","emtd_72ca33f1c1e1c9c8_002","44","data/processed/emtd_classification/test/children_crossing/emtd_72ca33f1c1e1c9c8_002.jpg"
"children_crossing","test","emtd_9c1138b7995fcf5a_004","45","data/processed/emtd_classification/test/children_crossing/emtd_9c1138b7995fcf5a_004.jpg"
"children_crossing","train","emtd_04128cdf51be3987_003","44","data/processed/emtd_classification/train/children_crossing/emtd_04128cdf51be3987_003.jpg"
"children_crossing","train","emtd_061532bf31fe4c30_001","44","data/processed/emtd_classification/train/children_crossing/emtd_061532bf31fe4c30_001.jpg"
"children_crossing","train","emtd_0c571b3b7d5bcf8d_004","44","data/processed/emtd_classification/train/children_crossing/emtd_0c571b3b7d5bcf8d_004.jpg"
"children_crossing","train","emtd_26542ab3f2cd6aee_002","44","data/processed/emtd_classification/train/children_crossing/emtd_26542ab3f2cd6aee_002.jpg"
"children_crossing","train","emtd_2eb3432fe6d8822d_002","45","data/processed/emtd_classification/train/children_crossing/emtd_2eb3432fe6d8822d_002.jpg"
"children_crossing","train","emtd_3d79936293a10dd7_001","44","data/processed/emtd_classification/train/children_crossing/emtd_3d79936293a10dd7_001.jpg"
"children_crossing","train","emtd_406756c35d6da334_001","44","data/processed/emtd_classification/train/children_crossing/emtd_406756c35d6da334_001.jpg"
"children_crossing","train","emtd_51bb564b6b10913f_002","45","data/processed/emtd_classification/train/children_crossing/emtd_51bb564b6b10913f_002.jpg"
"children_crossing","train","emtd_63b2ecc242ac30fd_001","44","data/processed/emtd_classification/train/children_crossing/emtd_63b2ecc242ac30fd_001.jpg"
"children_crossing","train","emtd_6e96bc80088a9ebe_001","45","data/processed/emtd_classification/train/children_crossing/emtd_6e96bc80088a9ebe_001.jpg"
"children_crossing","train","emtd_76cd6549c6400fe5_001","44","data/processed/emtd_classification/train/children_crossing/emtd_76cd6549c6400fe5_001.jpg"
"children_crossing","train","emtd_7bae3457d2aa752b_003","44","data/processed/emtd_classification/train/children_crossing/emtd_7bae3457d2aa752b_003.jpg"
"children_crossing","train","emtd_b8b100778ae9835c_002","45","data/processed/emtd_classification/train/children_crossing/emtd_b8b100778ae9835c_002.jpg"
"children_crossing","train","emtd_cadb01574922b90b_002","45","data/processed/emtd_classification/train/children_crossing/emtd_cadb01574922b90b_002.jpg"
"children_crossing","train","emtd_e968b703a29148d9_001","45","data/processed/emtd_classification/train/children_crossing/emtd_e968b703a29148d9_001.jpg"
"children_crossing","train","emtd_eb07db745f1be2ba_004","44","data/processed/emtd_classification/train/children_crossing/emtd_eb07db745f1be2ba_004.jpg"
"children_crossing","train","emtd_f5f4396410d256d3_002","44","data/processed/emtd_classification/train/children_crossing/emtd_f5f4396410d256d3_002.jpg"
"children_crossing","validation","emtd_5f7cf79a455c49f0_007","44","data/processed/emtd_classification/validation/children_crossing/emtd_5f7cf79a455c49f0_007.jpg"
"children_crossing","validation","emtd_643de76a68d374e0_002","44","data/processed/emtd_classification/validation/children_crossing/emtd_643de76a68d374e0_002.jpg"
"children_crossing","validation","emtd_ac5f6d24590a9878_003","44","data/processed/emtd_classification/validation/children_crossing/emtd_ac5f6d24590a9878_003.jpg"
"children_crossing","validation","emtd_f0d4a2e0bbd454e1_005","45","data/processed/emtd_classification/validation/children_crossing/emtd_f0d4a2e0bbd454e1_005.jpg"
"crossroads","test","emtd_f1896b0d6c3429df_004","55","data/processed/emtd_classification/test/crossroads/emtd_f1896b0d6c3429df_004.jpg"
