stage_id,candidate_id,semantic_sign_id,display_name,source_dataset,source_repo,source_url,original_dataset_url,legend_url,license_recorded,license_notes,source_split,source_shard,row_index_in_shard,object_index,source_image_path,source_image_sha256,source_class_label,source_class_index,mapping_evidence,image_width,image_height,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,bbox_width,bbox_height,crop_width,crop_height,crop_sha256,local_crop_path,source_modality,quality_gate,review_status,counts_for_candidate_coverage,notes
stage_c_gap_fill_03_remaining_tt100k,TTG03-p20-0001,no_left_or_right_turn,No left or right turn,Tsinghua-Tencent 100K / TT100K,Genius-Society/tt100k,https://huggingface.co/datasets/Genius-Society/tt100k,https://cg.cs.tsinghua.edu.cn/traffic-sign/,https://lijiancheng0614.github.io/2019/04/16/2019_04_16_TT100K/,HF dataset card: cc-by-nc-4.0; original/other mirrors may state CC BY-NC 2.0,Academic/non-commercial use only; verify exact licence before public redistribution.,train,default/train/data-00004-of-00014.arrow,106,1,39533.jpg,14b790d0b495e4e6c25297968440e24ef2aaca818522e64a67781abf6e16fdfb,p20,32,TT100K p20 icon is the compound no-left/no-right-turn prohibition.,2048,2048,1523.000,791.000,1573.000,844.000,50.000,53.000,94,99,390867ef76b9ac67aecddcf6356c57a543cf8dd9eb487b288bab0675c0669461,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_left_or_right_turn/TTG03-p20-0001_train_data-00004-of-00014_r0106_o01.jpg,real_road_photo_crop_from_detection_dataset,accepted_auto_exact_label,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,Cropped from TT100K object bounding box with context margin; source label retained.
stage_c_gap_fill_03_remaining_tt100k,TTG03-p20-0002,no_left_or_right_turn,No left or right turn,Tsinghua-Tencent 100K / TT100K,Genius-Society/tt100k,https://huggingface.co/datasets/Genius-Society/tt100k,https://cg.cs.tsinghua.edu.cn/traffic-sign/,https://lijiancheng0614.github.io/2019/04/16/2019_04_16_TT100K/,HF dataset card: cc-by-nc-4.0; original/other mirrors may state CC BY-NC 2.0,Academic/non-commercial use only; verify exact licence before public redistribution.,train,default/train/data-00006-of-00014.arrow,257,0,77771.jpg,7754090dd36f3f7c1dfc53bac9e394ef1e385b73ad9fc52e570a5097a47551c9,p20,32,TT100K p20 icon is the compound no-left/no-right-turn prohibition.,2048,2048,321.000,891.000,363.000,944.000,42.000,53.000,78,99,3cd6580ef917581c807381b9742dcb8439da8257f5c0ffd9b1871d448d462355,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_left_or_right_turn/TTG03-p20-0002_train_data-00006-of-00014_r0257_o00.jpg,real_road_photo_crop_from_detection_dataset,accepted_auto_exact_label,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,Cropped from TT100K object bounding box with context margin; source label retained.
stage_c_gap_fill_03_remaining_tt100k,TTG03-p10-0001,no_motor_vehicles,No motor vehicles,Tsinghua-Tencent 100K / TT100K,Genius-Society/tt100k,https://huggingface.co/datasets/Genius-Society/tt100k,https://cg.cs.tsinghua.edu.cn/traffic-sign/,https://lijiancheng0614.github.io/2019/04/16/2019_04_16_TT100K/,HF dataset card: cc-by-nc-4.0; original/other mirrors may state CC BY-NC 2.0,Academic/non-commercial use only; verify exact licence before public redistribution.,train,default/train/data-00004-of-00014.arrow,4,0,80020.jpg,9ba1f8206eba6317ea019bf81f964db244a34dd39f6a299cfaa9591c93026b53,p10,21,TT100K p10 icon is the red-ring motor-vehicle prohibition matching the coursework visual.,2048,2048,1379.600,782.587,1411.940,814.925,32.340,32.338,60,60,8b857fedd3d38da1f1c508db236013052bf6ee687abbe8719110d0615482dbcd,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_motor_vehicles/TTG03-p10-0001_train_data-00004-of-00014_r0004_o00.jpg,real_road_photo_crop_from_detection_dataset,accepted_auto_exact_label,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,Cropped from TT100K object bounding box with context margin; source label retained.
stage_c_gap_fill_03_remaining_tt100k,TTG03-p10-0002,no_motor_vehicles,No motor vehicles,Tsinghua-Tencent 100K / TT100K,Genius-Society/tt100k,https://huggingface.co/datasets/Genius-Society/tt100k,https://cg.cs.tsinghua.edu.cn/traffic-sign/,https://lijiancheng0614.github.io/2019/04/16/2019_04_16_TT100K/,HF dataset card: cc-by-nc-4.0; original/other mirrors may state CC BY-NC 2.0,Academic/non-commercial use only; verify exact licence before public redistribution.,train,default/train/data-00005-of-00014.arrow,123,0,77627.jpg,d2e5ad63345e94d9a61ef5bccfd95db51f6eaa901a344c30b6114774a53cbb5c,p10,21,TT100K p10 icon is the red-ring motor-vehicle prohibition matching the coursework visual.,2048,2048,1300.000,988.000,1337.333,1022.667,37.333,34.667,69,64,7053b334ad8b96143c33d69ce10c6043b1a769ef0ca8891dd041f8f96162455a,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_motor_vehicles/TTG03-p10-0002_train_data-00005-of-00014_r0123_o00.jpg,real_road_photo_crop_from_detection_dataset,accepted_auto_exact_label,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,Cropped from TT100K object bounding box with context margin; source label retained.
stage_c_gap_fill_03_remaining_tt100k,TTG03-p10-0003,no_motor_vehicles,No motor vehicles,Tsinghua-Tencent 100K / TT100K,Genius-Society/tt100k,https://huggingface.co/datasets/Genius-Society/tt100k,https://cg.cs.tsinghua.edu.cn/traffic-sign/,https://lijiancheng0614.github.io/2019/04/16/2019_04_16_TT100K/,HF dataset card: cc-by-nc-4.0; original/other mirrors may state CC BY-NC 2.0,Academic/non-commercial use only; verify exact licence before public redistribution.,train,default/train/data-00006-of-00014.arrow,415,0,34426.jpg,183f3cd95c746d82f8e5e05a7f0957894c170e14d5558cb0817a338c2ed6b6b1,p10,21,TT100K p10 icon is the red-ring motor-vehicle prohibition matching the coursework visual.,2048,2048,1641.330,913.333,1734.657,1016.000,93.327,102.667,175,195,b5de4fcac7826d44003be1d2a11b00db7f3ae2e06eeaec30e79dafac8b9b887a,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_motor_vehicles/TTG03-p10-0003_train_data-00006-of-00014_r0415_o00.jpg,real_road_photo_crop_from_detection_dataset,accepted_auto_exact_label,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,Cropped from TT100K object bounding box with context margin; source label retained.
stage_c_gap_fill_03_remaining_tt100k,TTG03-p14-0001,no_straight_ahead,No straight ahead,Tsinghua-Tencent 100K / TT100K,Genius-Society/tt100k,https://huggingface.co/datasets/Genius-Society/tt100k,https://cg.cs.tsinghua.edu.cn/traffic-sign/,https://lijiancheng0614.github.io/2019/04/16/2019_04_16_TT100K/,HF dataset card: cc-by-nc-4.0; original/other mirrors may state CC BY-NC 2.0,Academic/non-commercial use only; verify exact licence before public redistribution.,train,default/train/data-00007-of-00014.arrow,307,0,36939.jpg,95051d90b31787850883ce0402944ba9998d972830be14ddf5fce94a038955d9,p14,25,TT100K p14 icon is the straight-ahead prohibition matching the coursework visual.,2048,2048,66.337,905.941,110.891,965.346,44.554,59.406,82,114,f25b9ea7e081baba7c007369f734c2e8b9f001d48a98ed39c48e898b144c7950,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_straight_ahead/TTG03-p14-0001_train_data-00007-of-00014_r0307_o00.jpg,real_road_photo_crop_from_detection_dataset,accepted_auto_exact_label,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,Cropped from TT100K object bounding box with context margin; source label retained.
stage_c_gap_fill_03_remaining_tt100k,TTG03-p14-0001,no_straight_ahead,No straight ahead,Tsinghua-Tencent 100K / TT100K,Genius-Society/tt100k,https://huggingface.co/datasets/Genius-Society/tt100k,https://cg.cs.tsinghua.edu.cn/traffic-sign/,https://lijiancheng0614.github.io/2019/04/16/2019_04_16_TT100K/,HF dataset card: cc-by-nc-4.0; original/other mirrors may state CC BY-NC 2.0,Academic/non-commercial use only; verify exact licence before public redistribution.,train,default/train/data-00009-of-00014.arrow,331,2,63674.jpg,6cf1d3513a45585dccb24cd218625fecc4a9986ac887688daa30027b5e7f42fc,p14,25,TT100K p14 icon is the straight-ahead prohibition matching the coursework visual.,2048,2048,1165.330,713.333,1204.000,749.333,38.670,36.000,73,68,a5bf4aeccffbba1911edbc1451f4c7f11050f93b9f1e8d207c82ddf721f96f2c,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_straight_ahead/TTG03-p14-0001_train_data-00009-of-00014_r0331_o02.jpg,real_road_photo_crop_from_detection_dataset,accepted_auto_exact_label,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,Cropped from TT100K object bounding box with context margin; source label retained.
stage_c_gap_fill_03_remaining_tt100k,TTG03-p14-0001,no_straight_ahead,No straight ahead,Tsinghua-Tencent 100K / TT100K,Genius-Society/tt100k,https://huggingface.co/datasets/Genius-Society/tt100k,https://cg.cs.tsinghua.edu.cn/traffic-sign/,https://lijiancheng0614.github.io/2019/04/16/2019_04_16_TT100K/,HF dataset card: cc-by-nc-4.0; original/other mirrors may state CC BY-NC 2.0,Academic/non-commercial use only; verify exact licence before public redistribution.,validation,default/validation/data-00000-of-00003.arrow,43,0,66839.jpg,65f04460d6d7c51608de093828c57584765efcdec3ff9cdbe6caba8f26bfad06,p14,25,TT100K p14 icon is the straight-ahead prohibition matching the coursework visual.,2048,2048,1892.000,566.000,1973.000,669.000,81.000,103.000,153,195,f8a9395edf3a517450703a0eda23ada1cacfbfbe72c7fb43f8d9908513d7f053,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_straight_ahead/TTG03-p14-0001_validation_data-00000-of-00003_r0043_o00.jpg,real_road_photo_crop_from_detection_dataset,accepted_auto_exact_label,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,Cropped from TT100K object bounding box with context margin; source label retained.
stage_c_gap_fill_03_remaining_tt100k,TTG03-p14-0001,no_straight_ahead,No straight ahead,Tsinghua-Tencent 100K / TT100K,Genius-Society/tt100k,https://huggingface.co/datasets/Genius-Society/tt100k,https://cg.cs.tsinghua.edu.cn/traffic-sign/,https://lijiancheng0614.github.io/2019/04/16/2019_04_16_TT100K/,HF dataset card: cc-by-nc-4.0; original/other mirrors may state CC BY-NC 2.0,Academic/non-commercial use only; verify exact licence before public redistribution.,test,default/test/data-00000-of-00008.arrow,288,0,16840.jpg,1b25031afdc5ec14844b8bba6cae8e87cda320dd19b375bd996d51359649dde2,p14,25,TT100K p14 icon is the straight-ahead prohibition matching the coursework visual.,2048,2048,1084.000,766.000,1143.000,825.000,59.000,59.000,111,111,c996c4042c0fc7aa1d3340e1807ae678f9abb62db3385b3b8a80f197917306dd,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_straight_ahead/TTG03-p14-0001_test_data-00000-of-00008_r0288_o00.jpg,real_road_photo_crop_from_detection_dataset,accepted_auto_exact_label,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,Cropped from TT100K object bounding box with context margin; source label retained.
stage_c_gap_fill_03_remaining_tt100k,TTG03-p14-0001,no_straight_ahead,No straight ahead,Tsinghua-Tencent 100K / TT100K,Genius-Society/tt100k,https://huggingface.co/datasets/Genius-Society/tt100k,https://cg.cs.tsinghua.edu.cn/traffic-sign/,https://lijiancheng0614.github.io/2019/04/16/2019_04_16_TT100K/,HF dataset card: cc-by-nc-4.0; original/other mirrors may state CC BY-NC 2.0,Academic/non-commercial use only; verify exact licence before public redistribution.,test,default/test/data-00001-of-00008.arrow,59,0,89932.jpg,91dd485bdbcca21341232702a6a9af3b3619f7f657f637bf957e418c35fa9621,p14,25,TT100K p14 icon is the straight-ahead prohibition matching the coursework visual.,2048,2048,1469.330,774.667,1517.333,821.333,48.003,46.666,90,89,c048ac6db5a3edc9dbaacaf99ad288f1a9afefd1539bfc8f23e6ef4e53929943,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_straight_ahead/TTG03-p14-0001_test_data-00001-of-00008_r0059_o00.jpg,real_road_photo_crop_from_detection_dataset,accepted_auto_exact_label,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,Cropped from TT100K object bounding box with context margin; source label retained.
stage_c_gap_fill_03_remaining_tt100k,TTG03-p14-0001,no_straight_ahead,No straight ahead,Tsinghua-Tencent 100K / TT100K,Genius-Society/tt100k,https://huggingface.co/datasets/Genius-Society/tt100k,https://cg.cs.tsinghua.edu.cn/traffic-sign/,https://lijiancheng0614.github.io/2019/04/16/2019_04_16_TT100K/,HF dataset card: cc-by-nc-4.0; original/other mirrors may state CC BY-NC 2.0,Academic/non-commercial use only; verify exact licence before public redistribution.,test,default/test/data-00002-of-00008.arrow,127,0,95056.jpg,643bdb04f4865b47f324ffafe40a426ef8146283f77780be60a4e3ee858a88ae,p14,25,TT100K p14 icon is the straight-ahead prohibition matching the coursework visual.,2048,2048,1288.500,899.115,1321.239,933.628,32.739,34.513,61,64,58666846788bc23c5267df78b01248d6db155b5f18fc6a0e8e0ec950ff549084,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_straight_ahead/TTG03-p14-0001_test_data-00002-of-00008_r0127_o00.jpg,real_road_photo_crop_from_detection_dataset,accepted_auto_exact_label,auto_exact_label_pending_stage_d_visual_qc,yes_pending_stage_d_qc,Cropped from TT100K object bounding box with context margin; source label retained.
