stage_d_batch,semantic_sign_id,name_en,priority,required_for,minimum_clean_crops,selected_index,review_decision,review_basis,stage_d_status,crop_path,crop_sha256,crop_width,crop_height,source_group,source_dataset,source_split,source_label,source_url,license_notes,mapping_evidence,prior_review_status,dedupe_key,sanity_notes,review_notes
stage_d_manual_pending_minimum_qc,no_left_or_right_turn,No left or right turn,must,assignment,50,1,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_left_or_right_turn/TTG03-p20-0001_train_data-00004-of-00014_r0106_o01.jpg,390867ef76b9ac67aecddcf6356c57a543cf8dd9eb487b288bab0675c0669461,94,99,stage_c_gap_fill_03_remaining_tt100k_candidates,Tsinghua-Tencent 100K / TT100K,train,p20,https://huggingface.co/datasets/Genius-Society/tt100k,Academic/non-commercial use only; verify exact licence before public redistribution.,TT100K p20 icon is the compound no-left/no-right-turn prohibition.,auto_exact_label_pending_stage_d_visual_qc,14b790d0b495e4e6c25297968440e24ef2aaca818522e64a67781abf6e16fdfb:1,readable_nonblank_94x99,Selected deterministically for Stage E candidate split freeze.
stage_d_manual_pending_minimum_qc,no_left_or_right_turn,No left or right turn,must,assignment,50,2,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_03_remaining_tt100k/crops/no_left_or_right_turn/TTG03-p20-0002_train_data-00006-of-00014_r0257_o00.jpg,3cd6580ef917581c807381b9742dcb8439da8257f5c0ffd9b1871d448d462355,78,99,stage_c_gap_fill_03_remaining_tt100k_candidates,Tsinghua-Tencent 100K / TT100K,train,p20,https://huggingface.co/datasets/Genius-Society/tt100k,Academic/non-commercial use only; verify exact licence before public redistribution.,TT100K p20 icon is the compound no-left/no-right-turn prohibition.,auto_exact_label_pending_stage_d_visual_qc,7754090dd36f3f7c1dfc53bac9e394ef1e385b73ad9fc52e570a5097a47551c9:0,readable_nonblank_78x99,Selected deterministically for Stage E candidate split freeze.
stage_d_manual_pending_minimum_qc,no_left_or_right_turn,No left or right turn,must,assignment,50,3,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/manual_collection/stage_c_manual_01/no_left_or_right_turn/crops/MAN01-NLR-0016_augmented_from_MAN01-NLR-0001.jpg,55d97423e420154dd91e3b2e4c4bc6732e029a7e199016f1aeb8253f7cab4285,420,420,stage_c_manual_01_visual_reference_gap_fill,controlled_visual_augmentation_from_exact_reference,,File:China road sign 禁 25.svg :: controlled variant,https://commons.wikimedia.org/wiki/File:China_road_sign_%E7%A6%81_25.svg,Public domain,Visual match against assignment sign_012: red prohibitory sign with black left-and-right arrows crossed by a red slash.,visual_match_pending_stage_d_qc,0502e34cf01974f3cf18992f0a11fea436f00272497e79552b41baae91c5b64a,readable_nonblank_420x420,Selected deterministically for Stage E candidate split freeze.
stage_d_manual_pending_minimum_qc,no_left_or_right_turn,No left or right turn,must,assignment,50,4,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/manual_collection/stage_c_manual_01/no_left_or_right_turn/crops/MAN01-NLR-0010_augmented_from_MAN01-NLR-0005.jpg,564ec30cdf75f365976a409c801ede70943753043c4bb7fd40c05ffd375f7b5b,486,486,stage_c_manual_01_visual_reference_gap_fill,controlled_visual_augmentation_from_exact_reference,,TT100K p20 legend no-left-or-right-turn icon :: controlled variant,data/raw/manual_collection/stage_c_manual_01/no_left_or_right_turn/crops/MAN01-NLR-0005_TT100K_p20_legend_no-left-or-right-turn_icon.jpg,local_reference,Visual match against assignment sign_012: red prohibitory sign with black left-and-right arrows crossed by a red slash.,visual_match_pending_stage_d_qc,1a1a0dc93392930620515a6cc2641c7f1f09a64d7a0c1fe21c163b966fb1851e,readable_nonblank_486x486,Selected deterministically for Stage E candidate split freeze.
stage_d_manual_pending_minimum_qc,no_left_or_right_turn,No left or right turn,must,assignment,50,5,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/manual_collection/stage_c_manual_01/no_left_or_right_turn/crops/MAN01-NLR-0039_augmented_from_MAN01-NLR-0004.jpg,036ae069033a8886b93079f3232c28a19a0fa44cdb3d43cfffe6228253d5aa8e,488,488,stage_c_manual_01_visual_reference_gap_fill,controlled_visual_augmentation_from_exact_reference,,File:Taiwan (ROC) road sign P19.svg :: controlled variant,https://commons.wikimedia.org/wiki/File:Taiwan_(ROC)_road_sign_P19.svg,Public domain,Visual match against assignment sign_012: red prohibitory sign with black left-and-right arrows crossed by a red slash.,visual_match_pending_stage_d_qc,1e7dfd4c521573b3a8ee397631effced0f29defa8ec9b7303b470fb8cfed0b67,readable_nonblank_488x488,Selected deterministically for Stage E candidate split freeze.
stage_d_manual_pending_minimum_qc,no_left_or_right_turn,No left or right turn,must,assignment,50,6,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/manual_collection/stage_c_manual_01/no_left_or_right_turn/crops/MAN01-NLR-0038_augmented_from_MAN01-NLR-0003.jpg,e13d9f072daf162851b651a550cfa41639c99f7c73dc3296dad13b392c1d83de,379,379,stage_c_manual_01_visual_reference_gap_fill,controlled_visual_augmentation_from_exact_reference,,File:Taiwan road sign p19.svg :: controlled variant,https://commons.wikimedia.org/wiki/File:Taiwan_road_sign_p19.svg,CC0 (http://creativecommons.org/publicdomain/zero/1.0/deed.en),Visual match against assignment sign_012: red prohibitory sign with black left-and-right arrows crossed by a red slash.,visual_match_pending_stage_d_qc,2a40f2ef63491c4ea0ab73d0b2c654488dcdb4b4c8472b03887ee7c20d7f25ce,readable_nonblank_379x379,Selected deterministically for Stage E candidate split freeze.
stage_d_manual_pending_minimum_qc,no_left_or_right_turn,No left or right turn,must,assignment,50,7,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/manual_collection/stage_c_manual_01/no_left_or_right_turn/crops/MAN01-NLR-0008_augmented_from_MAN01-NLR-0003.jpg,e3f3d776b313ab5fea4cc0e54059e50b3796c70b08c8448bcdbac72ef3e72ae3,547,553,stage_c_manual_01_visual_reference_gap_fill,controlled_visual_augmentation_from_exact_reference,,File:Taiwan road sign p19.svg :: controlled variant,https://commons.wikimedia.org/wiki/File:Taiwan_road_sign_p19.svg,CC0 (http://creativecommons.org/publicdomain/zero/1.0/deed.en),Visual match against assignment sign_012: red prohibitory sign with black left-and-right arrows crossed by a red slash.,visual_match_pending_stage_d_qc,2ba48a935dc130b128ffcf276156063d9f2bc25b125db9393ff8a99d4c489721,readable_nonblank_547x553,Selected deterministically for Stage E candidate split freeze.
stage_d_manual_pending_minimum_qc,no_left_or_right_turn,No left or right turn,must,assignment,50,8,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/manual_collection/stage_c_manual_01/no_left_or_right_turn/crops/MAN01-NLR-0037_augmented_from_MAN01-NLR-0002.jpg,18600a06c0f2cf664451ab96464b0e74a928ba07e63c559e4cdb4c976d93d58a,399,399,stage_c_manual_01_visual_reference_gap_fill,controlled_visual_augmentation_from_exact_reference,,File:Vietnam road sign P137.svg :: controlled variant,https://commons.wikimedia.org/wiki/File:Vietnam_road_sign_P137.svg,Public domain,Visual match against assignment sign_012: red prohibitory sign with black left-and-right arrows crossed by a red slash.,visual_match_pending_stage_d_qc,30afed947cfbf9be072d4dd52a406695910dad73d5bcc1eaca2a323031a9c60f,readable_nonblank_399x399,Selected deterministically for Stage E candidate split freeze.
stage_d_manual_pending_minimum_qc,no_left_or_right_turn,No left or right turn,must,assignment,50,9,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/manual_collection/stage_c_manual_01/no_left_or_right_turn/crops/MAN01-NLR-0007_augmented_from_MAN01-NLR-0002.jpg,edb1ad2b9424795be89ac824840f7d83b7e406a7cc9c4309f487fb1abf0647de,501,503,stage_c_manual_01_visual_reference_gap_fill,controlled_visual_augmentation_from_exact_reference,,File:Vietnam road sign P137.svg :: controlled variant,https://commons.wikimedia.org/wiki/File:Vietnam_road_sign_P137.svg,Public domain,Visual match against assignment sign_012: red prohibitory sign with black left-and-right arrows crossed by a red slash.,visual_match_pending_stage_d_qc,3316562c221b43d6a8f67de6305be7296225e9f045617dc6469e6057bd89e5d4,readable_nonblank_501x503,Selected deterministically for Stage E candidate split freeze.
stage_d_manual_pending_minimum_qc,no_left_or_right_turn,No left or right turn,must,assignment,50,10,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/manual_collection/stage_c_manual_01/no_left_or_right_turn/crops/MAN01-NLR-0024_augmented_from_MAN01-NLR-0004.jpg,872c61fd73a9b9c8796bdadcba7b3080d4925fb34422aa5c742b9babf0b3561f,360,363,stage_c_manual_01_visual_reference_gap_fill,controlled_visual_augmentation_from_exact_reference,,File:Taiwan (ROC) road sign P19.svg :: controlled variant,https://commons.wikimedia.org/wiki/File:Taiwan_(ROC)_road_sign_P19.svg,Public domain,Visual match against assignment sign_012: red prohibitory sign with black left-and-right arrows crossed by a red slash.,visual_match_pending_stage_d_qc,356edf34aa8bba1fd6b3501a928710f460efe93780af2a2612f36d203b231969,readable_nonblank_360x363,Selected deterministically for Stage E candidate split freeze.
