stage_d_batch,semantic_sign_id,name_en,priority,required_for,minimum_clean_crops,selected_index,review_decision,review_basis,stage_d_status,crop_path,crop_sha256,crop_width,crop_height,source_group,source_dataset,source_split,source_label,source_url,license_notes,mapping_evidence,prior_review_status,dedupe_key,sanity_notes,review_notes
stage_d_other_zero_gap_minimum_qc,bus_stop,Bus stop,optional,future_catalogue,10,1,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/staging/roboflow/roboflow_malaysia_road_sign_v1/classification_crops/train/bus_stop/petunjuk-lokasi-pemberhentian-bus-1-_jpg.rf.353ac612007edf195d3c5efd4ad050af_00_c3_0274293346c1.jpg,7ea8d87c904611d29d6cf1265c53ef3b4eb821c276c7b597d2efb5bff1140285,273,408,roboflow_source_manifest,roboflow_malaysia_road_sign_v1,train,Bus stop,See DATA_SOURCE_CITATION_LEDGER.md and archived roboflow source manifest.,See DATA_SOURCE_CITATION_LEDGER.md; public Roboflow imports require attribution review.,Roboflow source label Bus stop; mapping confidence high.,accepted_public_mixed,Bus stop:petunjuk-lokasi-pemberhentian-bus-1-_jpg,readable_nonblank_273x408,Selected deterministically for Stage E candidate split freeze.
stage_d_other_zero_gap_minimum_qc,bus_stop,Bus stop,optional,future_catalogue,10,2,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/staging/roboflow/roboflow_malaysia_road_sign_v1/classification_crops/test/bus_stop/petunjuk-lokasi-pemberhentian-bus-10-_jpg.rf.fab4610c0c7502e689075072e14db9cf_00_c3_2a8451a7db3b.jpg,5aea26787842047bf8c21280e85468c6339fbfe4c7a46e92465ac8045dd42110,124,180,roboflow_source_manifest,roboflow_malaysia_road_sign_v1,test,Bus stop,See DATA_SOURCE_CITATION_LEDGER.md and archived roboflow source manifest.,See DATA_SOURCE_CITATION_LEDGER.md; public Roboflow imports require attribution review.,Roboflow source label Bus stop; mapping confidence high.,accepted_public_mixed,Bus stop:petunjuk-lokasi-pemberhentian-bus-10-_jpg,readable_nonblank_124x180,Selected deterministically for Stage E candidate split freeze.
stage_d_other_zero_gap_minimum_qc,bus_stop,Bus stop,optional,future_catalogue,10,3,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/staging/roboflow/roboflow_malaysia_road_sign_v1/classification_crops/train/bus_stop/petunjuk-lokasi-pemberhentian-bus-100-_jpg.rf.3c8a13124435466acd62580dda8efc79_00_c3_42d0d33d6ea1.jpg,b29183eb592dabddb3ef00e3db6cb53ce69f10ed3677969b11789e2775264fec,269,325,roboflow_source_manifest,roboflow_malaysia_road_sign_v1,train,Bus stop,See DATA_SOURCE_CITATION_LEDGER.md and archived roboflow source manifest.,See DATA_SOURCE_CITATION_LEDGER.md; public Roboflow imports require attribution review.,Roboflow source label Bus stop; mapping confidence high.,accepted_public_mixed,Bus stop:petunjuk-lokasi-pemberhentian-bus-100-_jpg,readable_nonblank_269x325,Selected deterministically for Stage E candidate split freeze.
stage_d_other_zero_gap_minimum_qc,bus_stop,Bus stop,optional,future_catalogue,10,4,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/staging/roboflow/roboflow_malaysia_road_sign_v1/classification_crops/train/bus_stop/petunjuk-lokasi-pemberhentian-bus-11-_jpg.rf.7f6b65169205bcf7e7e2935a4f46b556_00_c3_49e407fb0c24.jpg,6750e0c0448a23592592121355967f6c38397e67460a98184a3d020002661815,226,244,roboflow_source_manifest,roboflow_malaysia_road_sign_v1,train,Bus stop,See DATA_SOURCE_CITATION_LEDGER.md and archived roboflow source manifest.,See DATA_SOURCE_CITATION_LEDGER.md; public Roboflow imports require attribution review.,Roboflow source label Bus stop; mapping confidence high.,accepted_public_mixed,Bus stop:petunjuk-lokasi-pemberhentian-bus-11-_jpg,readable_nonblank_226x244,Selected deterministically for Stage E candidate split freeze.
stage_d_other_zero_gap_minimum_qc,bus_stop,Bus stop,optional,future_catalogue,10,5,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/staging/roboflow/roboflow_malaysia_road_sign_v1/classification_crops/valid/bus_stop/petunjuk-lokasi-pemberhentian-bus-12-_jpg.rf.51f8f07860cdd99fbf633dc1a1b60af0_00_c3_4f6d8c8ee8d1.jpg,20782d3b4884c5af2a6ad77bbeb35d8c38da701bdbb1ef6f36220d1c01d77f01,63,84,roboflow_source_manifest,roboflow_malaysia_road_sign_v1,valid,Bus stop,See DATA_SOURCE_CITATION_LEDGER.md and archived roboflow source manifest.,See DATA_SOURCE_CITATION_LEDGER.md; public Roboflow imports require attribution review.,Roboflow source label Bus stop; mapping confidence high.,accepted_public_mixed,Bus stop:petunjuk-lokasi-pemberhentian-bus-12-_jpg,readable_nonblank_63x84,Selected deterministically for Stage E candidate split freeze.
stage_d_other_zero_gap_minimum_qc,bus_stop,Bus stop,optional,future_catalogue,10,6,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/staging/roboflow/roboflow_malaysia_road_sign_v1/classification_crops/valid/bus_stop/petunjuk-lokasi-pemberhentian-bus-13-_jpg.rf.504d4f3b20cd768948ab67655efc1954_00_c3_34972d4b5324.jpg,1aea189d46e3ad402230dad63d831cee5d3a300b2674196bd5259c5c4de5f0eb,177,292,roboflow_source_manifest,roboflow_malaysia_road_sign_v1,valid,Bus stop,See DATA_SOURCE_CITATION_LEDGER.md and archived roboflow source manifest.,See DATA_SOURCE_CITATION_LEDGER.md; public Roboflow imports require attribution review.,Roboflow source label Bus stop; mapping confidence high.,accepted_public_mixed,Bus stop:petunjuk-lokasi-pemberhentian-bus-13-_jpg,readable_nonblank_177x292,Selected deterministically for Stage E candidate split freeze.
stage_d_other_zero_gap_minimum_qc,bus_stop,Bus stop,optional,future_catalogue,10,7,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/staging/roboflow/roboflow_malaysia_road_sign_v1/classification_crops/test/bus_stop/petunjuk-lokasi-pemberhentian-bus-14-_jpg.rf.39476dbb00742e206d2334863f740a99_00_c3_ccd35076636c.jpg,1e632cbd1bae6d87797766946923610d79e6539d4f28871238f3b25b2d68894e,152,252,roboflow_source_manifest,roboflow_malaysia_road_sign_v1,test,Bus stop,See DATA_SOURCE_CITATION_LEDGER.md and archived roboflow source manifest.,See DATA_SOURCE_CITATION_LEDGER.md; public Roboflow imports require attribution review.,Roboflow source label Bus stop; mapping confidence high.,accepted_public_mixed,Bus stop:petunjuk-lokasi-pemberhentian-bus-14-_jpg,readable_nonblank_152x252,Selected deterministically for Stage E candidate split freeze.
stage_d_other_zero_gap_minimum_qc,bus_stop,Bus stop,optional,future_catalogue,10,8,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/staging/roboflow/roboflow_malaysia_road_sign_v1/classification_crops/valid/bus_stop/petunjuk-lokasi-pemberhentian-bus-15-_jpg.rf.2fc4bb095b41ed8ee12472de95e202d0_00_c3_c10b2a99b079.jpg,f3fb0eed41e7a374c76cdf2980d6db3c3dfbd86840c6c482fd09399a6f6f40d3,182,295,roboflow_source_manifest,roboflow_malaysia_road_sign_v1,valid,Bus stop,See DATA_SOURCE_CITATION_LEDGER.md and archived roboflow source manifest.,See DATA_SOURCE_CITATION_LEDGER.md; public Roboflow imports require attribution review.,Roboflow source label Bus stop; mapping confidence high.,accepted_public_mixed,Bus stop:petunjuk-lokasi-pemberhentian-bus-15-_jpg,readable_nonblank_182x295,Selected deterministically for Stage E candidate split freeze.
stage_d_other_zero_gap_minimum_qc,bus_stop,Bus stop,optional,future_catalogue,10,9,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/staging/roboflow/roboflow_malaysia_road_sign_v1/classification_crops/test/bus_stop/petunjuk-lokasi-pemberhentian-bus-16-_jpg.rf.b3e1336d13edb69dfd37e6137c55e311_00_c3_2b1bcd49c1ee.jpg,03339300067a6298622aa4788cb392e0ca3f8ca0cb73011a248bcc53b736adb4,168,243,roboflow_source_manifest,roboflow_malaysia_road_sign_v1,test,Bus stop,See DATA_SOURCE_CITATION_LEDGER.md and archived roboflow source manifest.,See DATA_SOURCE_CITATION_LEDGER.md; public Roboflow imports require attribution review.,Roboflow source label Bus stop; mapping confidence high.,accepted_public_mixed,Bus stop:petunjuk-lokasi-pemberhentian-bus-16-_jpg,readable_nonblank_168x243,Selected deterministically for Stage E candidate split freeze.
stage_d_other_zero_gap_minimum_qc,bus_stop,Bus stop,optional,future_catalogue,10,10,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/staging/roboflow/roboflow_malaysia_road_sign_v1/classification_crops/test/bus_stop/petunjuk-lokasi-pemberhentian-bus-17-_jpg.rf.3997c8c87cbbc960d0941e519dfd6487_00_c3_53d6da5b5baa.jpg,878e9071d28b55ae8aa163388742d518540af2379c9e5a7a768a190479fe2ca5,278,358,roboflow_source_manifest,roboflow_malaysia_road_sign_v1,test,Bus stop,See DATA_SOURCE_CITATION_LEDGER.md and archived roboflow source manifest.,See DATA_SOURCE_CITATION_LEDGER.md; public Roboflow imports require attribution review.,Roboflow source label Bus stop; mapping confidence high.,accepted_public_mixed,Bus stop:petunjuk-lokasi-pemberhentian-bus-17-_jpg,readable_nonblank_278x358,Selected deterministically for Stage E candidate split freeze.
