stage_d_batch,semantic_sign_id,name_en,priority,required_for,minimum_clean_crops,selected_index,review_decision,review_basis,stage_d_status,crop_path,crop_sha256,crop_width,crop_height,source_group,source_dataset,source_split,source_label,source_url,license_notes,mapping_evidence,prior_review_status,dedupe_key,sanity_notes,review_notes
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,1,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0001_00000_00000.jpg,144e4156a8783b21779c61609bc6db1345bd38197e329e3d87364150324db314,27,36,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00000_00000.ppm,readable_nonblank_27x36,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,2,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0002_00000_00004.jpg,8e116a4f845d8eb30c2d9f03f4d46b851d0e2bc8c85fc85e2b141ca70616a237,31,41,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00000_00004.ppm,readable_nonblank_31x41,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,3,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0003_00000_00007.jpg,7c9c128bb2ef96dd42ab9521df5ef5426b75e5c4c4747c38e9c5ab2cb6f57c43,32,42,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00000_00007.ppm,readable_nonblank_32x42,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,4,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0004_00000_00011.jpg,97fc7bcd406abaa6983ca430465ac2d799d94c3bbbb713f5b80dc1f21bf29ee9,33,47,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00000_00011.ppm,readable_nonblank_33x47,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,5,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0005_00000_00015.jpg,4c9831d38687233ea1652b09c6f466ec59f348cbb94e13d38c42ce545f66bf64,39,58,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00000_00015.ppm,readable_nonblank_39x58,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,6,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0006_00000_00018.jpg,1cba13d0e9d11cd42e9fa28d93f31144f4c2fea70111d8843b20b0bb66c57a9e,43,68,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00000_00018.ppm,readable_nonblank_43x68,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,7,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0007_00000_00022.jpg,1465f9a690ed131a1e6e2ef9419744a229ed779a5bf5f5295322ca495c6ccc53,51,85,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00000_00022.ppm,readable_nonblank_51x85,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,8,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0008_00000_00026.jpg,6f0bdabbff272b593743be48def60e48e634656251eae14552ea4492086b6857,62,121,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00000_00026.ppm,readable_nonblank_62x121,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,9,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0009_00000_00029.jpg,d6057b1c674e8e53d2ab11293b1403f26ea2bb19141b0738c3178991ac41b863,67,182,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00000_00029.ppm,readable_nonblank_67x182,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,10,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0010_00001_00003.jpg,109490da21faaa9a0776697efddafff3d0fa515be5fb574da831f112492f8c2c,40,35,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00001_00003.ppm,readable_nonblank_40x35,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,11,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0011_00001_00007.jpg,77c8245220583bf8821521d81070c7153d78d5c4465aff56f1d94f76f6486b8d,43,41,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00001_00007.ppm,readable_nonblank_43x41,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,12,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0012_00001_00010.jpg,ffa20c529fee635e42499e3cb735413873e130aec2c3ba7f102d33e03d0d4110,47,44,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00001_00010.ppm,readable_nonblank_47x44,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,13,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0013_00001_00014.jpg,6b3ec133bf11bd7af8a299798add082d1e0f248410a5e83180c490ef7b8cd76d,52,49,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00001_00014.ppm,readable_nonblank_52x49,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,14,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0014_00001_00017.jpg,d5cd8f3c07321618a5cf6992046083de693a600ef465d05590b5f1261de643aa,62,57,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00001_00017.ppm,readable_nonblank_62x57,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,15,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0015_00001_00021.jpg,26d3f78e54faf9a7607eaa75d8c11a7b0a49df932b3f7c9039ce48cab8038cca,76,70,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00001_00021.ppm,readable_nonblank_76x70,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,16,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0016_00001_00025.jpg,f04a1259b56acf5681b3be15470a0baec6294f3fc8f2be4360b6574daae4865c,104,93,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00001_00025.ppm,readable_nonblank_104x93,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,17,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0017_00001_00028.jpg,14e018448fe7b9767d815f5d8ff98e8ebdd2b702e3a59dd11368fdb483dea7de,137,124,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00001_00028.ppm,readable_nonblank_137x124,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,18,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0018_00002_00002.jpg,cdbb901a754255391f64d6d047bff64c54d81104825c2358104ae45a168a1c4f,36,34,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00002_00002.ppm,readable_nonblank_36x34,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,19,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0019_00002_00006.jpg,a20cfd06931f76ee912d7d565b79dfad3f49f036606dadbc4b6847b4fb57d98b,40,38,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00002_00006.ppm,readable_nonblank_40x38,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,20,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0020_00002_00009.jpg,b446d9b96a717a92dd4047b5ee4953ef5682f067d6dea5d29a2d2c2c1d8e9d66,42,39,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00002_00009.ppm,readable_nonblank_42x39,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,21,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0021_00002_00013.jpg,87657c85212548d2a3b109f1de6e3813e140e68dbdf8edfaba5e7f295f3f6bed,47,42,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00002_00013.ppm,readable_nonblank_47x42,Selected deterministically for Stage E candidate split freeze.
stage_d_zero_gap_minimum_qc,bicycle_crossing,Bicycle crossing,must,assignment,50,22,accept,source_mapping_plus_stage_d_sanity_and_contact_sheet,accepted_first_pass_visual_qc,data/raw/online_sources/stage_c_gap_fill_02_public_real_sources/crops/bicycle_crossing/GTSRB02-29-0022_00002_00017.jpg,18346f4e351cbb5d7c5ac592ab746386b87a4c6865fb79d59b903ad20ac0cf43,52,49,stage_c_gap_fill_02_public_real_sources_candidates,German Traffic Sign Recognition Benchmark / GTSRB,train,Bicycles crossing,https://benchmark.ini.rub.de/,GTSRB official site states free use with required citation; keep for academic/non-commercial project use.,GTSRB class 29 is the real-road bicycle-crossing warning sign.,auto_exact_label_pending_stage_d_visual_qc,GTSRB/Training/00029/00002_00017.ppm,readable_nonblank_52x49,Selected deterministically for Stage E candidate split freeze.
